run_number,subrun_index,analysis_set,specimen,wire,measurement_direction,measurement_position,two_theta_min_deg,two_theta_max_deg,d_spacing_angstrom,d_spacing_uncertainty_angstrom
4633,2,radial-residual-strain,B12W,Wire F,axial,0 mm,80.5,83.0,1.167613417046327,0.00029686061027563886
4633,3,radial-residual-strain,B12W,Wire F,axial,-10 mm,80.5,83.0,1.1668309721384666,0.0003465273057447901
4633,4,radial-residual-strain,B12W,Wire F,axial,-20 mm,80.5,83.0,1.1669925923068607,0.0003374394705470289
4633,5,radial-residual-strain,B12W,Wire F,axial,-30 mm,80.5,83.0,1.1675487472479287,0.000284103162924387
4633,6,radial-residual-strain,B12W,Wire F,axial,-40 mm,80.5,83.0,1.1673258124081145,0.0002665060610258657
4633,7,radial-residual-strain,B12W,Wire F,axial,-50 mm,80.5,83.0,1.1675709989736387,0.00028815746886227234
4633,8,radial-residual-strain,B12W,Wire F,axial,-60 mm,80.5,83.0,1.1677828906100287,0.0002669297559130137
4633,9,radial-residual-strain,B12W,Wire F,axial,-70 mm,80.5,83.0,1.1676219333066509,0.00026574095531473806
4633,10,radial-residual-strain,B12W,Wire F,axial,-80 mm,80.5,83.0,1.1677470456101338,0.0002715157640953978
4633,11,radial-residual-strain,B12W,Wire F,axial,-90 mm,80.5,83.0,1.1677292849711929,0.0003200240238858774
4633,12,radial-residual-strain,B12W,Wire F,axial,-100 mm,80.5,83.0,1.1671736158424015,0.0003346182407298401
4633,13,radial-residual-strain,B12W,Wire F,axial,-110 mm,80.5,83.0,1.1676222546783102,0.0002538976726853182
4633,14,radial-residual-strain,B12W,Wire F,axial,-120 mm,80.5,83.0,1.166812367715994,0.00034963256827180933
4633,15,radial-residual-strain,B12W,Wire F,axial,-130 mm,80.5,83.0,1.1664831564253109,0.00034239893466061295
4633,16,radial-residual-strain,B12W,Wire F,axial,-140 mm,80.5,83.0,1.166658110769998,0.0004238672973862215
4633,17,radial-residual-strain,B12W,Wire F,axial,-150 mm,80.5,83.0,1.166786547413506,0.00042422012967775557
4633,18,radial-residual-strain,B12W,Wire F,axial,-160 mm,80.5,83.0,1.166732345931549,0.0004363737652890216
4633,19,radial-residual-strain,B12W,Wire F,axial,-170 mm,80.5,83.0,1.1676354311258001,0.00044958694781520385
4635,1,radial-residual-strain,B12W,Wire F,radial,15.68 mm,80.5,83.25,1.1666624394613312,3.0461720424864708e-05
4635,2,radial-residual-strain,B12W,Wire F,radial,0 mm,80.5,83.25,1.1666019219552626,6.717629304401764e-05
4635,3,radial-residual-strain,B12W,Wire F,radial,-10 mm,80.5,83.25,1.1666453654355664,6.446616397713171e-05
4635,4,radial-residual-strain,B12W,Wire F,radial,-20 mm,80.5,83.25,1.1666364679764358,6.74259759732451e-05
4635,5,radial-residual-strain,B12W,Wire F,radial,-30 mm,80.5,83.25,1.1665101602380705,6.98169223468692e-05
4635,6,radial-residual-strain,B12W,Wire F,radial,-40 mm,80.5,83.25,1.166428192556328,7.637390654630872e-05
4635,7,radial-residual-strain,B12W,Wire F,radial,-50 mm,80.5,83.25,1.1664983007849292,7.833111339835943e-05
4635,8,radial-residual-strain,B12W,Wire F,radial,-60 mm,80.5,83.25,1.1665136860854453,7.698314723075675e-05
4635,9,radial-residual-strain,B12W,Wire F,radial,-70 mm,80.5,83.25,1.1664297949005844,7.894154517711755e-05
4635,10,radial-residual-strain,B12W,Wire F,radial,-80 mm,80.5,83.25,1.1666908976994468,8.408683912471398e-05
4635,11,radial-residual-strain,B12W,Wire F,radial,-90 mm,80.5,83.25,1.166817820651798,8.764379879684544e-05
4635,12,radial-residual-strain,B12W,Wire F,radial,-100 mm,80.5,83.25,1.1669361987200408,9.562226796704118e-05
4635,13,radial-residual-strain,B12W,Wire F,radial,-110 mm,80.5,83.25,1.1670767554312957,8.910113537655613e-05
4635,14,radial-residual-strain,B12W,Wire F,radial,-120 mm,80.5,83.25,1.1671449646848886,9.295483592110318e-05
4635,15,radial-residual-strain,B12W,Wire F,radial,-130 mm,80.5,83.25,1.1671901493235988,0.00010277398240642788
4635,16,radial-residual-strain,B12W,Wire F,radial,-140 mm,80.5,83.25,1.1671367789953073,9.991130687986764e-05
4635,17,radial-residual-strain,B12W,Wire F,radial,-150 mm,80.5,83.25,1.1671496193631379,0.00010375119765267534
4645,1,axial-residual-strain,B12W,Wire F,axial,15.68 mm,80.75,83.0,1.1667952074639174,0.00015812295377113568
4645,2,axial-residual-strain,B12W,Wire F,axial,0 mm,80.75,83.0,1.1664746630002112,0.000214185138113482
4645,3,axial-residual-strain,B12W,Wire F,axial,-10 mm,80.75,83.0,1.166479069944814,0.00020817469554432216
4645,4,axial-residual-strain,B12W,Wire F,axial,-20 mm,80.75,83.0,1.1666706159989118,0.0001744429584648386
4645,5,axial-residual-strain,B12W,Wire F,axial,-30 mm,80.75,83.0,1.1670114453206546,0.00014885364613113013
4645,6,axial-residual-strain,B12W,Wire F,axial,-40 mm,80.75,83.0,1.1669574557348525,0.00015862613547487056
4645,7,axial-residual-strain,B12W,Wire F,axial,-50 mm,80.75,83.0,1.1674181523309102,0.00014617403942620498
4645,8,axial-residual-strain,B12W,Wire F,axial,-60 mm,80.75,83.0,1.1674725218390836,0.00013779042886248613
4645,9,axial-residual-strain,B12W,Wire F,axial,-70 mm,80.75,83.0,1.1677577344975216,0.0001469649667864206
4645,10,axial-residual-strain,B12W,Wire F,axial,-80 mm,80.75,83.0,1.167737562461615,0.00014367041683604318
4645,11,axial-residual-strain,B12W,Wire F,axial,-90 mm,80.75,83.0,1.1675565392357712,0.00017102988995356012
4645,12,axial-residual-strain,B12W,Wire F,axial,-100 mm,80.75,83.0,1.1667867077832024,0.0002185278118690053
4645,13,axial-residual-strain,B12W,Wire F,axial,-110 mm,80.75,83.0,1.1663443182960873,0.00020437125373309452
4645,14,axial-residual-strain,B12W,Wire F,axial,-120 mm,80.75,83.0,1.166531235625834,0.00022943052324116988
4645,15,axial-residual-strain,B12W,Wire F,axial,-130 mm,80.75,83.0,1.1665108814317378,0.00023646224001454112
4645,16,axial-residual-strain,B12W,Wire F,axial,-140 mm,80.75,83.0,1.166458477887873,0.00022722100926984555
4645,17,axial-residual-strain,B12W,Wire F,axial,-150 mm,80.75,83.0,1.1666809571399788,0.00021459190249391175
