reflection,chi_deg,phi_deg,intensity
{211},-50.0,190.0,49.12196
{211},-50.0,200.0,46.51865
{211},-50.0,210.0,41.037086
{211},-50.0,220.0,46.682343
{211},-50.0,230.0,48.25991
{211},-50.0,240.0,38.792156
{211},-50.0,250.0,50.008648
{211},-50.0,260.0,41.658634
{211},-50.0,270.0,42.913784
{211},-50.0,280.0,42.70734
{211},-50.0,290.0,37.556362
{211},-50.0,300.0,38.376553
{211},-50.0,310.0,37.784218
{211},-50.0,320.0,35.153034
{211},-50.0,330.0,32.4736
{211},-50.0,340.0,43.237724
{211},-50.0,350.0,27.933184
{211},-40.0,350.0,46.072094
{211},-40.0,340.0,43.11517
{211},-40.0,330.0,40.44623
{211},-40.0,320.0,37.555855
{211},-40.0,310.0,53.554626
{211},-40.0,300.0,44.307846
{211},-40.0,290.0,49.672703
{211},-40.0,280.0,43.100986
{211},-40.0,270.0,40.37042
{211},-40.0,260.0,42.94451
{211},-40.0,250.0,43.37855
{211},-40.0,240.0,46.25533
{211},-40.0,230.0,36.008083
{211},-40.0,220.0,36.815174
{211},-40.0,210.0,40.428837
{211},-40.0,200.0,44.328655
{211},-40.0,190.0,39.440235
{211},-40.0,180.0,54.464527
{211},-40.0,170.0,45.66202
{211},-40.0,160.0,34.160645
{211},-40.0,150.0,39.240475
{211},-40.0,140.0,47.243725
{211},-40.0,130.0,48.246502
{211},-40.0,120.0,38.522896
{211},-40.0,110.0,34.00015
{211},-40.0,100.0,40.020416
{211},-40.0,90.0,46.710503
{211},-40.0,80.0,51.87077
{211},-40.0,70.0,47.60578
{211},-40.0,60.0,42.454124
{211},-40.0,50.0,46.226288
{211},-40.0,40.0,45.3891
{211},-40.0,30.0,42.90404
{211},-40.0,20.0,49.87038
{211},-40.0,10.0,33.172672
{211},-40.0,0.0,47.823654
{211},-30.0,0.0,55.144436
{211},-30.0,10.0,65.250824
{211},-30.0,20.0,64.08424
{211},-30.0,30.0,46.270046
{211},-30.0,40.0,59.940407
{211},-30.0,50.0,51.3646
{211},-30.0,60.0,56.68352
{211},-30.0,70.0,56.993423
{211},-30.0,80.0,51.74619
{211},-30.0,90.0,63.017044
{211},-30.0,100.0,52.266075
{211},-30.0,110.0,56.69824
{211},-30.0,120.0,54.28791
{211},-30.0,130.0,55.64063
{211},-30.0,140.0,48.70142
{211},-30.0,150.0,51.554623
{211},-30.0,160.0,58.26441
{211},-30.0,170.0,60.53982
{211},-30.0,180.0,68.23205
{211},-30.0,190.0,57.41067
{211},-30.0,200.0,65.14875
{211},-30.0,210.0,58.92234
{211},-30.0,220.0,66.14412
{211},-30.0,230.0,65.40492
{211},-30.0,240.0,60.527466
{211},-30.0,250.0,53.51835
{211},-30.0,260.0,59.82097
{211},-30.0,270.0,57.09329
{211},-30.0,280.0,60.874687
{211},-30.0,290.0,61.837418
{211},-30.0,300.0,59.57884
{211},-30.0,310.0,61.825665
{211},-30.0,320.0,55.63315
{211},-30.0,330.0,51.418995
{211},-30.0,340.0,58.5422
{211},-30.0,350.0,64.82523
{211},-20.0,350.0,40.154186
{211},-20.0,340.0,28.369734
{211},-20.0,330.0,35.56689
{211},-20.0,320.0,34.46718
{211},-20.0,310.0,35.35476
{211},-20.0,300.0,27.604372
{211},-20.0,290.0,30.820564
{211},-20.0,280.0,36.322083
{211},-20.0,270.0,36.915962
{211},-20.0,260.0,29.11964
{211},-20.0,250.0,41.853615
{211},-20.0,240.0,29.99001
{211},-20.0,230.0,37.805187
{211},-20.0,220.0,36.74547
{211},-20.0,210.0,30.717318
{211},-20.0,200.0,39.722095
{211},-20.0,190.0,33.26009
{211},-20.0,180.0,43.176468
{211},-20.0,170.0,33.581135
{211},-20.0,160.0,36.852825
{211},-20.0,150.0,54.199413
{211},-20.0,140.0,44.730988
{211},-20.0,130.0,42.27894
{211},-20.0,120.0,40.69245
{211},-20.0,110.0,45.642754
{211},-20.0,100.0,35.92579
{211},-20.0,90.0,48.89191
{211},-20.0,80.0,44.837875
{211},-20.0,70.0,34.866123
{211},-20.0,60.0,42.344917
{211},-20.0,50.0,34.05348
{211},-20.0,40.0,40.09224
{211},-20.0,30.0,40.97299
{211},-20.0,20.0,33.361187
{211},-20.0,10.0,37.891308
{211},-20.0,0.0,38.24356
{211},-10.0,0.0,12.07816
{211},-10.0,10.0,11.776354
{211},-10.0,20.0,12.326556
{211},-10.0,30.0,13.428336
{211},-10.0,40.0,15.733703
{211},-10.0,50.0,22.492138
{211},-10.0,60.0,20.828781
{211},-10.0,70.0,13.837402
{211},-10.0,80.0,20.703299
{211},-10.0,90.0,14.716888
{211},-10.0,100.0,20.19133
{211},-10.0,110.0,20.625689
{211},-10.0,120.0,21.43359
{211},-10.0,130.0,18.072544
{211},-10.0,140.0,14.746627
{211},-10.0,150.0,14.433117
{211},-10.0,160.0,19.308456
{211},-10.0,170.0,22.172987
{211},-10.0,180.0,17.651215
{211},-10.0,190.0,10.41804
{211},-10.0,200.0,15.533174
{211},-10.0,210.0,15.980791
{211},-10.0,220.0,12.333226
{211},-10.0,230.0,15.35603
{211},-10.0,240.0,12.527612
{211},-10.0,250.0,22.31373
{211},-10.0,260.0,13.061888
{211},-10.0,270.0,21.845383
{211},-10.0,280.0,8.717104
{211},-10.0,290.0,12.244484
{211},-10.0,300.0,10.134272
{211},-10.0,310.0,12.096531
{211},-10.0,320.0,14.059404
{211},-10.0,330.0,17.108637
{211},-10.0,340.0,7.7846766
{211},-10.0,350.0,12.4684305
{211},0.0,0.0,8.280981
{220},-90.0,0.0,11.849188
{220},-90.0,10.0,9.150293
{220},-90.0,20.0,8.39905
{220},-90.0,30.0,7.978786
{220},-90.0,40.0,11.144081
{220},-90.0,50.0,5.6215305
{220},-90.0,60.0,9.345442
{220},-90.0,70.0,18.780504
{220},-90.0,80.0,10.726
{220},-90.0,90.0,8.380339
{220},-90.0,100.0,16.908575
{220},-90.0,110.0,13.108041
{220},-90.0,120.0,13.757075
{220},-90.0,130.0,17.358265
{220},-90.0,140.0,13.852746
{220},-90.0,150.0,21.893772
{220},-90.0,160.0,15.2589655
{220},-90.0,170.0,23.93058
{220},-90.0,180.0,24.975935
{220},-90.0,190.0,18.515192
{220},-90.0,200.0,15.437688
{220},-90.0,210.0,21.040726
{220},-90.0,220.0,14.055201
{220},-90.0,230.0,11.502571
{220},-90.0,240.0,11.241166
{220},-90.0,250.0,10.519694
{220},-90.0,260.0,11.662212
{220},-90.0,270.0,8.882054
{220},-90.0,280.0,7.3935766
{220},-90.0,290.0,10.996147
{220},-90.0,300.0,8.372019
{220},-90.0,310.0,10.433708
{220},-90.0,320.0,9.188156
{220},-90.0,330.0,10.909247
{220},-90.0,340.0,14.162517
{220},-90.0,350.0,9.584378
{220},-80.0,350.0,10.528646
{220},-80.0,340.0,9.559418
{220},-80.0,330.0,7.6709137
{220},-80.0,320.0,17.240088
{220},-80.0,310.0,7.2238064
{220},-80.0,300.0,6.7653275
{220},-80.0,290.0,12.669864
{220},-80.0,280.0,20.329206
{220},-80.0,270.0,13.13499
{220},-80.0,260.0,17.359596
{220},-80.0,250.0,12.415221
{220},-80.0,240.0,15.662976
{220},-80.0,230.0,19.647919
{220},-80.0,220.0,13.257647
{220},-80.0,210.0,16.332884
{220},-80.0,200.0,14.151626
{220},-80.0,190.0,11.352892
{220},-80.0,180.0,14.923198
{220},-80.0,170.0,15.744649
{220},-80.0,160.0,15.152548
{220},-80.0,150.0,12.779966
{220},-80.0,140.0,13.793518
{220},-80.0,130.0,15.827636
{220},-80.0,120.0,21.756298
{220},-80.0,110.0,13.384973
{220},-80.0,100.0,11.330191
{220},-80.0,90.0,11.9384365
{220},-80.0,80.0,20.614672
{220},-80.0,70.0,12.583191
{220},-80.0,60.0,11.888013
{220},-80.0,50.0,8.674296
{220},-80.0,40.0,9.905265
{220},-80.0,30.0,9.3101845
{220},-80.0,20.0,9.949447
{220},-80.0,10.0,9.228976
{220},-80.0,0.0,15.278271
{220},-70.0,0.0,30.00054
{220},-70.0,10.0,23.386154
{220},-70.0,20.0,23.12998
{220},-70.0,30.0,19.351332
{220},-70.0,40.0,25.605385
{220},-70.0,50.0,19.577757
{220},-70.0,60.0,20.830904
{220},-70.0,70.0,19.210127
{220},-70.0,80.0,27.989431
{220},-70.0,90.0,27.161417
{220},-70.0,100.0,28.311552
{220},-70.0,110.0,26.198797
{220},-70.0,120.0,20.712147
{220},-70.0,130.0,24.533476
{220},-70.0,140.0,16.681326
{220},-70.0,150.0,20.74489
{220},-70.0,160.0,17.66821
{220},-70.0,170.0,17.185385
{220},-70.0,180.0,19.710373
{220},-70.0,190.0,19.104578
{220},-70.0,200.0,18.381203
{220},-70.0,210.0,25.42579
{220},-70.0,220.0,21.488237
{220},-70.0,230.0,19.552114
{220},-70.0,240.0,20.987053
{220},-70.0,250.0,24.059673
{220},-70.0,260.0,21.586763
{220},-70.0,270.0,19.868841
{220},-70.0,280.0,17.529627
{220},-70.0,290.0,18.557024
{220},-70.0,300.0,19.46199
{220},-70.0,310.0,17.790968
{220},-70.0,320.0,25.534182
{220},-70.0,330.0,25.394936
{220},-70.0,340.0,19.865705
{220},-70.0,350.0,24.730942
{220},-60.0,350.0,35.595764
{220},-60.0,340.0,29.45882
{220},-60.0,330.0,27.25538
{220},-60.0,320.0,29.659903
{220},-60.0,310.0,24.139015
{220},-60.0,300.0,37.95469
{220},-60.0,290.0,30.620863
{220},-60.0,280.0,31.887434
{220},-60.0,270.0,30.291088
{220},-60.0,260.0,28.621279
{220},-60.0,250.0,38.95407
{220},-60.0,240.0,30.013382
{220},-60.0,230.0,31.537073
{220},-60.0,220.0,37.11881
{220},-60.0,210.0,28.695068
{220},-60.0,200.0,33.326084
{220},-60.0,190.0,31.380808
{220},-60.0,180.0,35.1788
{220},-60.0,170.0,26.06617
{220},-60.0,160.0,34.506145
{220},-60.0,150.0,35.476624
{220},-60.0,140.0,25.209671
{220},-60.0,130.0,34.269714
{220},-60.0,120.0,30.972662
{220},-60.0,110.0,34.454468
{220},-60.0,100.0,34.83653
{220},-60.0,90.0,33.25266
{220},-60.0,80.0,34.2164
{220},-60.0,70.0,35.5169
{220},-60.0,60.0,32.08218
{220},-60.0,50.0,36.357883
{220},-60.0,40.0,35.120678
{220},-60.0,30.0,30.901718
{220},-60.0,20.0,38.356613
{220},-60.0,10.0,26.683586
{220},-60.0,0.0,38.16443
{220},-50.0,0.0,15.220762
{220},-50.0,10.0,16.682478
{220},-50.0,20.0,17.441896
{220},-50.0,30.0,18.952806
{220},-50.0,40.0,14.267513
{220},-50.0,50.0,13.003976
{220},-50.0,60.0,18.411915
{220},-50.0,70.0,16.988897
{220},-50.0,80.0,18.45001
{220},-50.0,90.0,30.415014
{220},-50.0,100.0,24.02203
{220},-50.0,110.0,30.817625
{220},-50.0,120.0,13.565479
{220},-50.0,130.0,22.582575
{220},-50.0,140.0,27.571552
{220},-50.0,150.0,28.361052
{220},-50.0,160.0,23.11262
{220},-50.0,170.0,27.065369
{220},-50.0,180.0,31.347412
{220},-50.0,190.0,20.196451
{220},-50.0,200.0,17.541073
{220},-50.0,210.0,14.994507
{220},-50.0,220.0,27.749651
{220},-50.0,230.0,18.319706
{220},-50.0,240.0,15.133739
{220},-50.0,250.0,16.265379
{220},-50.0,260.0,16.042135
{220},-50.0,270.0,20.274254
{220},-50.0,280.0,13.2842865
{220},-50.0,290.0,11.978643
{220},-50.0,300.0,12.180653
{220},-50.0,310.0,15.908741
{220},-50.0,320.0,12.99585
{220},-50.0,330.0,12.830709
{220},-50.0,340.0,14.929803
{220},-50.0,350.0,16.383627
{220},-40.0,350.0,10.463493
{220},-40.0,340.0,5.661987
{220},-40.0,330.0,4.593968
{220},-40.0,320.0,4.338249
{220},-40.0,310.0,6.1263194
{220},-40.0,300.0,4.320728
{220},-40.0,290.0,5.944196
{220},-40.0,280.0,5.3053107
{220},-40.0,270.0,11.447609
{220},-40.0,260.0,4.9935384
{220},-40.0,250.0,5.99342
{220},-40.0,240.0,8.456597
{220},-40.0,230.0,5.9295454
{220},-40.0,220.0,6.6759567
{220},-40.0,210.0,6.2040915
{220},-40.0,200.0,13.218432
{220},-40.0,190.0,5.8815136
{220},-40.0,180.0,10.384832
{220},-40.0,170.0,9.917017
{220},-40.0,160.0,15.40875
{220},-40.0,150.0,7.5693736
{220},-40.0,140.0,6.314678
{220},-40.0,130.0,14.930121
{220},-40.0,120.0,14.297595
{220},-40.0,110.0,11.161198
{220},-40.0,100.0,9.992114
{220},-40.0,90.0,4.770071
{220},-40.0,80.0,6.5625625
{220},-40.0,70.0,8.73271
{220},-40.0,60.0,3.8252597
{220},-40.0,50.0,6.2787333
{220},-40.0,40.0,6.0086255
{220},-40.0,30.0,6.2677355
{220},-40.0,20.0,3.8308449
{220},-40.0,10.0,5.21716
{220},-40.0,0.0,7.677449
{220},-30.0,0.0,5.1079
{220},-30.0,10.0,5.741782
{220},-30.0,20.0,5.4217625
{220},-30.0,30.0,5.816222
{220},-30.0,40.0,7.7618437
{220},-30.0,50.0,6.1636977
{220},-30.0,60.0,5.866439
{220},-30.0,70.0,4.469296
{220},-30.0,80.0,5.7887506
{220},-30.0,90.0,7.9136105
{220},-30.0,100.0,6.6520133
{220},-30.0,110.0,3.1864312
{220},-30.0,120.0,7.8295813
{220},-30.0,130.0,9.54392
{220},-30.0,140.0,6.340194
{220},-30.0,150.0,5.964874
{220},-30.0,160.0,5.973295
{220},-30.0,170.0,5.5632324
{220},-30.0,180.0,6.67268
{220},-30.0,190.0,7.9975653
{220},-30.0,200.0,7.886313
{220},-30.0,210.0,6.7603025
{220},-30.0,220.0,5.577922
{220},-30.0,230.0,11.4663515
{220},-30.0,240.0,9.437037
{220},-30.0,250.0,9.409732
{220},-30.0,260.0,9.114926
{220},-30.0,270.0,4.8912215
{220},-30.0,280.0,7.2211967
{220},-30.0,290.0,3.7058299
{220},-30.0,300.0,4.254635
{220},-30.0,310.0,5.767214
{220},-30.0,320.0,5.2041993
{220},-30.0,330.0,6.097668
{220},-30.0,340.0,9.431021
{220},-30.0,350.0,1.0798669
{220},-20.0,350.0,17.213829
{220},-20.0,340.0,10.794001
{220},-20.0,330.0,18.11497
{220},-20.0,320.0,9.103118
{220},-20.0,310.0,13.440841
{220},-20.0,300.0,11.098493
{220},-20.0,290.0,15.878759
{220},-20.0,280.0,19.764786
{220},-20.0,270.0,-1.6222079
{220},-20.0,260.0,13.632485
{220},-20.0,250.0,11.6154785
{220},-20.0,240.0,14.499274
{220},-20.0,230.0,12.7303705
{220},-20.0,220.0,17.641552
{220},-20.0,210.0,13.264616
{220},-20.0,200.0,13.053072
{220},-20.0,190.0,19.536396
{220},-20.0,180.0,12.829652
{220},-20.0,170.0,11.962849
{220},-20.0,160.0,16.912043
{220},-20.0,150.0,11.076213
{220},-20.0,140.0,15.508736
{220},-20.0,130.0,11.319184
{220},-20.0,120.0,16.812056
{220},-20.0,110.0,18.471966
