run_number,subrun_index,specimen,wire,measurement_direction,instrument_position_mm,measurement_position_mm,plot_order,d_spacing_angstrom,d_spacing_uncertainty_angstrom,d0_angstrom,d0_uncertainty_angstrom
4645,10,B12W,Wire F,axial,-80.0,95.68,10,1.167737562461615,0.00014367041683604318,1.1667952074639174,0.00015812295377113568
4645,11,B12W,Wire F,axial,-90.0,105.68,11,1.1675565392357712,0.00017102988995356012,1.1667952074639174,0.00015812295377113568
4645,12,B12W,Wire F,axial,-100.0,115.68,12,1.1667867077832024,0.0002185278118690053,1.1667952074639174,0.00015812295377113568
4645,13,B12W,Wire F,axial,-110.0,125.68,13,1.1663443182960873,0.00020437125373309452,1.1667952074639174,0.00015812295377113568
4645,14,B12W,Wire F,axial,-120.0,135.68,14,1.166531235625834,0.00022943052324116988,1.1667952074639174,0.00015812295377113568
4645,15,B12W,Wire F,axial,-130.0,145.68,15,1.1665108814317378,0.00023646224001454112,1.1667952074639174,0.00015812295377113568
4645,16,B12W,Wire F,axial,-140.0,155.68,16,1.166458477887873,0.00022722100926984555,1.1667952074639174,0.00015812295377113568
4645,17,B12W,Wire F,axial,-150.0,165.68,17,1.1666809571399788,0.00021459190249391175,1.1667952074639174,0.00015812295377113568
4645,18,B12W,Wire F,axial,-160.0,175.68,18,1.1659808949071333,0.0002570910161221499,1.1667952074639174,0.00015812295377113568
4645,19,B12W,Wire F,axial,-170.0,185.68,19,1.1662286679499185,0.0002423545929874015,1.1667952074639174,0.00015812295377113568
4678,2,M8N,Wire A,axial,85.0,75.0,1,1.1665560786836018,0.0001527793052561473,1.1667952074639174,0.00015812295377113568
4678,4,M8N,Wire A,axial,125.0,35.0,2,1.1668454873625922,0.00018391497478232723,1.1667952074639174,0.00015812295377113568
4678,1,M8N,Wire A,axial,160.0,0.0,3,1.1669710126517208,0.00018743464150711563,1.1667952074639174,0.00015812295377113568
4400,1,M8N,Wire B,axial,0.0,5.0,1,1.1744000511559602,0.00010055786268253136,1.1741743003877856,4.030250908299757e-05
4401,1,M8N,Wire B,axial,-5.0,10.0,2,1.1739085669524245,0.00014098468116381289,1.1741743003877856,4.030250908299757e-05
4400,2,M8N,Wire B,axial,-10.0,15.0,3,1.1742804116401515,0.00012658429416527843,1.1741743003877856,4.030250908299757e-05
4401,2,M8N,Wire B,axial,-15.0,20.0,4,1.17439539879184,0.00013767784317726786,1.1741743003877856,4.030250908299757e-05
4400,3,M8N,Wire B,axial,-20.0,25.0,5,1.1743182748380518,0.0001481269820003968,1.1741743003877856,4.030250908299757e-05
4400,4,M8N,Wire B,axial,-30.0,35.0,6,1.1743150922424217,0.00013360619175802925,1.1741743003877856,4.030250908299757e-05
4400,5,M8N,Wire B,axial,-40.0,45.0,7,1.1745442178056107,0.00013453307546351558,1.1741743003877856,4.030250908299757e-05
4400,6,M8N,Wire B,axial,-50.0,55.0,8,1.1742598494062662,0.00014797776645303516,1.1741743003877856,4.030250908299757e-05
4400,7,M8N,Wire B,axial,-60.0,65.0,9,1.1743668327489334,0.00013116303032536565,1.1741743003877856,4.030250908299757e-05
4400,8,M8N,Wire B,axial,-70.0,75.0,10,1.1743538562316025,0.00014166610323920647,1.1741743003877856,4.030250908299757e-05
4400,9,M8N,Wire B,axial,-80.0,85.0,11,1.1750074131890662,0.00011958289879672857,1.1741743003877856,4.030250908299757e-05
4400,10,M8N,Wire B,axial,-90.0,95.0,12,1.1740108145474575,0.00016740882447920308,1.1741743003877856,4.030250908299757e-05
4400,11,M8N,Wire B,axial,-100.0,105.0,13,1.1744224974807218,0.00023645930147348667,1.1741743003877856,4.030250908299757e-05
4396,1,M8N,Wire C,axial,0.0,0.0,1,1.174590433216304,9.674270684016394e-05,1.1741743003877856,4.030250908299757e-05
4396,2,M8N,Wire C,axial,-10.0,10.0,2,1.173734948645851,0.00012901863054710648,1.1741743003877856,4.030250908299757e-05
4396,3,M8N,Wire C,axial,-20.0,20.0,3,1.173882723532135,0.00012464750953481124,1.1741743003877856,4.030250908299757e-05
4396,4,M8N,Wire C,axial,-30.0,30.0,4,1.1739093007000208,0.00011646060607052098,1.1741743003877856,4.030250908299757e-05
4396,5,M8N,Wire C,axial,-40.0,40.0,5,1.1741139837459758,0.0001038529128593518,1.1741743003877856,4.030250908299757e-05
4396,6,M8N,Wire C,axial,-50.0,50.0,6,1.1744735162199296,9.926318337377836e-05,1.1741743003877856,4.030250908299757e-05
4399,1,M8N,Wire C,axial,-56.6,56.6,7,1.1742070611976092,0.00010755789190854209,1.1741743003877856,4.030250908299757e-05
4396,7,M8N,Wire C,axial,-60.0,60.0,8,1.1740427821130601,0.00011992765527618373,1.1741743003877856,4.030250908299757e-05
4399,2,M8N,Wire C,axial,-63.3,63.3,9,1.174134375851516,0.00011728709557406262,1.1741743003877856,4.030250908299757e-05
4396,8,M8N,Wire C,axial,-70.0,70.0,10,1.174419395736876,0.00010018707230633577,1.1741743003877856,4.030250908299757e-05
4396,9,M8N,Wire C,axial,-80.0,80.0,11,1.1743279043736636,0.0001048667010847385,1.1741743003877856,4.030250908299757e-05
